prompt_type,latency_sec,input_tokens,output_tokens,total_tokens,mission_quality,safety_score,personalization_score
baseline_json,10.46,307.0,340.75,2225.0,3.25,3.0,3.25
structured_v2,14.56,683.0,413.0,3548.75,4.25,4.75,4.75
